"Index","Name","Age","Nationality","Overall","Potential","Preferred Foot","Height","Weight","Standardized Height","Height Percentile"
0,"Messi","31","Argentina",94,94,"Left",67,159,-1.64587352470233,0.0498949003918574
1,"Ronaldo","33","Portugal",94,94,"Right",74,183,0.995967263296877,0.84036697427128
2,"Neymar","26","Brazil",92,93,"Right",69,150,-0.891061870988268,0.186447989397852
3,"Gea","27","Spain",91,93,"Right",76,168,1.75077891701094,0.960008000219213
4,"Bruyne","27","Belgium",91,92,"Right",71,154,-0.13625021727421,0.445811738816824
5,"Hazard","27","Belgium",91,91,"Right",68,163,-1.2684676978453,0.102315489580169
6,"Modri?","32","Croatia",91,91,"Right",68,146,-1.2684676978453,0.102315489580169
7,"Suárez","31","Uruguay",91,91,"Right",72,190,0.241155609582819,0.595282742962414
8,"Ramos","32","Spain",91,91,"Right",72,181,0.241155609582819,0.595282742962414
9,"Oblak","25","Slovenia",90,93,"Right",74,192,0.995967263296877,0.84036697427128
10,"Lewandowski","29","Poland",90,90,"Right",72,176,0.241155609582819,0.595282742962414
11,"Kroos","28","Germany",90,90,"Right",72,168,0.241155609582819,0.595282742962414
12,"Godín","32","Uruguay",90,90,"Right",74,172,0.995967263296877,0.84036697427128
13,"Silva","32","Spain",90,90,"Left",68,148,-1.2684676978453,0.102315489580169
14,"Kanté","27","France",89,90,"Right",66,159,-2.02327935155936,0.0215221772540829
15,"Dybala","24","Argentina",89,94,"Left",70,165,-0.513656044131239,0.303746244407079
16,"Kane","24","England",89,91,"Right",74,196,0.995967263296877,0.84036697427128
17,"Griezmann","27","France",89,90,"Left",69,161,-0.891061870988268,0.186447989397852
18,"Stegen","26","Germany",89,92,"Right",74,187,0.995967263296877,0.84036697427128
19,"Courtois","26","Belgium",89,90,"Left",78,212,2.50559057072499,0.993887645754496
20,"Busquets","29","Spain",89,89,"Right",74,168,0.995967263296877,0.84036697427128
21,"Cavani","31","Uruguay",89,89,"Right",73,170,0.618561436439848,0.731897343398344
22,"Neuer","32","Germany",89,89,"Right",76,203,1.75077891701094,0.960008000219213
23,"Agüero","30","Argentina",89,89,"Right",68,154,-1.2684676978453,0.102315489580169
24,"Chiellini","33","Italy",89,89,"Left",74,187,0.995967263296877,0.84036697427128
25,"Mbappé","19","France",88,95,"Right",70,161,-0.513656044131239,0.303746244407079
26,"Salah","26","Egypt",88,89,"Left",69,157,-0.891061870988268,0.186447989397852
27,"Casemiro","26","Brazil",88,90,"Right",73,185,0.618561436439848,0.731897343398344
28,"Rodríguez","26","Colombia",88,89,"Left",71,172,-0.13625021727421,0.445811738816824
29,"Insigne","27","Italy",88,88,"Right",64,130,-2.77809100527341,0.00273396507736679
30,"Isco","26","Spain",88,91,"Right",69,174,-0.891061870988268,0.186447989397852
31,"Eriksen","26","Denmark",88,91,"Right",71,168,-0.13625021727421,0.445811738816824
32,"Coutinho","26","Brazil",88,89,"Right",68,150,-1.2684676978453,0.102315489580169
33,"Aubameyang","29","Gabon",88,88,"Right",74,176,0.995967263296877,0.84036697427128
34,"Hummels","29","Germany",88,88,"Right",75,203,1.37337309015391,0.915181804492968
35,"Marcelo","30","Brazil",88,88,"Left",69,176,-0.891061870988268,0.186447989397852
36,"Bale","28","Wales",88,88,"Left",73,181,0.618561436439848,0.731897343398344
37,"Lloris","31","France",88,88,"Left",74,181,0.995967263296877,0.84036697427128
38,"Higuaín","30","Argentina",88,88,"Right",73,196,0.618561436439848,0.731897343398344
39,"Silva","33","Brazil",88,88,"Right",72,181,0.241155609582819,0.595282742962414
40,"Handanovi?","33","Slovenia",88,88,"Right",76,203,1.75077891701094,0.960008000219213
41,"Buffon","40","Italy",88,88,"Right",76,203,1.75077891701094,0.960008000219213
42,"Umtiti","24","France",87,92,"Left",72,165,0.241155609582819,0.595282742962414
43,"Icardi","25","Argentina",87,90,"Right",71,165,-0.13625021727421,0.445811738816824
44,"Koulibaly","27","Senegal",87,90,"Right",74,196,0.995967263296877,0.84036697427128
45,"Pogba","25","France",87,91,"Right",76,185,1.75077891701094,0.960008000219213
46,"Navas","31","CostaRica",87,87,"Right",73,176,0.618561436439848,0.731897343398344
47,"Lukaku","25","Belgium",87,89,"Left",75,207,1.37337309015391,0.915181804492968
48,"Immobile","28","Italy",87,87,"Right",73,187,0.618561436439848,0.731897343398344
49,"Alba","29","Spain",87,87,"Left",67,150,-1.64587352470233,0.0498949003918574
50,"Mertens","31","Belgium",87,87,"Right",67,134,-1.64587352470233,0.0498949003918574
51,"Vertonghen","31","Belgium",87,87,"Left",74,190,0.995967263296877,0.84036697427128
52,"Hamšík","30","Slovakia",87,87,"Right",72,174,0.241155609582819,0.595282742962414
53,"Rakiti?","30","Croatia",87,87,"Right",72,172,0.241155609582819,0.595282742962414
54,"Piqué","31","Spain",87,87,"Right",76,187,1.75077891701094,0.960008000219213
55,"Sané","22","Germany",86,92,"Left",72,165,0.241155609582819,0.595282742962414
56,"Silva","23","Portugal",86,91,"Left",68,141,-1.2684676978453,0.102315489580169
57,"Ederson","24","Brazil",86,90,"Left",74,190,0.995967263296877,0.84036697427128
58,"Mané","26","Senegal",86,87,"Right",69,152,-0.891061870988268,0.186447989397852
59,"Dijk","26","Netherlands",86,88,"Right",76,203,1.75077891701094,0.960008000219213
60,"Sterling","23","England",86,89,"Right",67,152,-1.64587352470233,0.0498949003918574
61,"Firmino","26","Brazil",86,87,"Right",71,168,-0.13625021727421,0.445811738816824
62,"Varane","25","France",86,91,"Right",75,179,1.37337309015391,0.915181804492968
63,"Verratti","25","Italy",86,89,"Right",65,132,-2.40068517841638,0.00818220428633721
64,"Sandro","27","Brazil",86,86,"Left",71,176,-0.13625021727421,0.445811738816824
65,"Costa","27","Brazil",86,86,"Left",68,154,-1.2684676978453,0.102315489580169
66,"Müller","28","Germany",86,86,"Right",73,165,0.618561436439848,0.731897343398344
67,"Thiago","27","Spain",86,86,"Right",69,154,-0.891061870988268,0.186447989397852
68,"Reus","29","Germany",86,86,"Right",71,157,-0.13625021727421,0.445811738816824
69,"Azpilicueta","28","Spain",86,86,"Right",70,168,-0.513656044131239,0.303746244407079
70,"Bonucci","31","Italy",86,86,"Right",75,187,1.37337309015391,0.915181804492968
71,"Alderweireld","29","Belgium",86,87,"Right",73,179,0.618561436439848,0.731897343398344
72,"Pjani?","28","BosniaHerzegovina",86,86,"Right",70,159,-0.513656044131239,0.303746244407079
73,"Benatia","31","Morocco",86,86,"Right",74,207,0.995967263296877,0.84036697427128
74,"Özil","29","Germany",86,86,"Left",71,168,-0.13625021727421,0.445811738816824
75,"Fernandinho","33","Brazil",86,86,"Right",70,148,-0.513656044131239,0.303746244407079
76,"Iniesta","34","Spain",86,86,"Right",67,150,-1.64587352470233,0.0498949003918574
77,"Škriniar","23","Slovakia",85,92,"Right",74,176,0.995967263296877,0.84036697427128
78,"Savi?","23","Serbia",85,90,"Right",75,168,1.37337309015391,0.915181804492968
79,"Asensio","22","Spain",85,92,"Left",72,168,0.241155609582819,0.595282742962414
80,"Fekir","24","France",85,89,"Left",68,165,-1.2684676978453,0.102315489580169
81,"Alisson","25","Brazil",85,90,"Right",75,201,1.37337309015391,0.915181804492968
82,"Kimmich","23","Germany",85,88,"Right",69,154,-0.891061870988268,0.186447989397852
83,"Saúl","23","Spain",85,90,"Left",72,170,0.241155609582819,0.595282742962414
84,"Mahrez","27","Algeria",85,85,"Left",70,148,-0.513656044131239,0.303746244407079
85,"Alaba","26","Austria",85,87,"Left",71,168,-0.13625021727421,0.445811738816824
86,"Koke","26","Spain",85,86,"Right",69,163,-0.891061870988268,0.186447989397852
87,"Lacazette","27","France",85,86,"Right",69,161,-0.891061870988268,0.186447989397852
88,"Manolas","27","Greece",85,87,"Right",74,183,0.995967263296877,0.84036697427128
89,"Otamendi","30","Argentina",85,85,"Right",72,179,0.241155609582819,0.595282742962414
90,"Parejo","29","Spain",85,85,"Right",72,163,0.241155609582819,0.595282742962414
91,"Paulinho","29","Brazil",85,85,"Right",72,157,0.241155609582819,0.595282742962414
92,"Szcz?sny","28","Poland",85,87,"Right",77,198,2.12818474386796,0.983339115386145
93,"Sánchez","29","Chile",85,85,"Right",67,163,-1.64587352470233,0.0498949003918574
94,"Brahimi","28","Algeria",85,85,"Right",69,146,-0.891061870988268,0.186447989397852
95,"Boateng","29","Germany",85,85,"Right",76,198,1.75077891701094,0.960008000219213
96,"Vidal","31","Chile",85,85,"Right",71,165,-0.13625021727421,0.445811738816824
97,"Periši?","29","Croatia",85,85,"Right",73,176,0.618561436439848,0.731897343398344
98,"Džeko","32","BosniaHerzegovina",85,85,"Right",76,185,1.75077891701094,0.960008000219213
99,"Khedira","31","Germany",85,85,"Right",74,198,0.995967263296877,0.84036697427128
100,"Costa","29","Spain",85,85,"Right",74,190,0.995967263296877,0.84036697427128
101,"Nainggolan","30","Belgium",85,85,"Right",69,170,-0.891061870988268,0.186447989397852
102,"Naldo","35","Brazil",85,85,"Right",78,201,2.50559057072499,0.993887645754496
103,"Matuidi","31","France",85,85,"Left",71,165,-0.13625021727421,0.445811738816824
104,"Miranda","33","Brazil",85,85,"Right",73,172,0.618561436439848,0.731897343398344
105,"Benzema","30","France",85,85,"Right",73,179,0.618561436439848,0.731897343398344
106,"Luís","32","Brazil",85,85,"Left",72,163,0.241155609582819,0.595282742962414
107,"Kompany","32","Belgium",85,85,"Right",75,187,1.37337309015391,0.915181804492968
108,"Pepe","35","Portugal",85,85,"Right",74,179,0.995967263296877,0.84036697427128
109,"Ibrahimovi?","36","Sweden",85,85,"Right",77,209,2.12818474386796,0.983339115386145
110,"Sánchez","22","Colombia",84,88,"Right",74,174,0.995967263296877,0.84036697427128
111,"Giménez","23","Uruguay",84,88,"Right",73,176,0.618561436439848,0.731897343398344
112,"Telles","25","Brazil",84,87,"Left",71,157,-0.13625021727421,0.445811738816824
113,"Laporte","24","France",84,88,"Left",74,187,0.995967263296877,0.84036697427128
114,"Fernandes","23","Portugal",84,88,"Right",70,152,-0.513656044131239,0.303746244407079
115,"Süle","22","Germany",84,90,"Right",77,214,2.12818474386796,0.983339115386145
116,"Martial","22","France",84,90,"Right",72,168,0.241155609582819,0.595282742962414
117,"Alli","22","England",84,90,"Right",74,176,0.995967263296877,0.84036697427128
118,"Fabinho","24","Brazil",84,88,"Right",74,172,0.995967263296877,0.84036697427128
119,"Marquinhos","24","Brazil",84,89,"Right",72,165,0.241155609582819,0.595282742962414
120,"Carvalho","26","Portugal",84,86,"Right",74,183,0.995967263296877,0.84036697427128
121,"Jorginho","26","Italy",84,87,"Right",71,148,-0.13625021727421,0.445811738816824
122,"Thauvin","25","France",84,87,"Left",70,154,-0.513656044131239,0.303746244407079
123,"Carvajal","26","Spain",84,87,"Right",68,161,-1.2684676978453,0.102315489580169
124,"Depay","24","Netherlands",84,89,"Right",69,172,-0.891061870988268,0.186447989397852
125,"Son","25","KoreaRepublic",84,85,"Right",72,143,0.241155609582819,0.595282742962414
126,"Lopes","27","Portugal",84,86,"Left",72,179,0.241155609582819,0.595282742962414
127,"Vrij","26","Netherlands",84,86,"Right",74,172,0.995967263296877,0.84036697427128
128,"Perin","25","Italy",84,89,"Right",74,170,0.995967263296877,0.84036697427128
129,"Cuadrado","30","Colombia",84,84,"Right",70,159,-0.513656044131239,0.303746244407079
130,"Aspas","30","Spain",84,84,"Left",69,148,-0.891061870988268,0.186447989397852
131,"Leno","26","Germany",84,87,"Right",75,183,1.37337309015391,0.915181804492968
132,"Mati?","29","Serbia",84,84,"Left",76,187,1.75077891701094,0.960008000219213
133,"Hrádecký","28","Finland",84,84,"Right",76,187,1.75077891701094,0.960008000219213
134,"Illarramendi","28","Spain",84,84,"Right",70,165,-0.513656044131239,0.303746244407079
135,"Walker","28","England",84,84,"Right",72,154,0.241155609582819,0.595282742962414
136,"Gündo?an","27","Germany",84,84,"Right",71,176,-0.13625021727421,0.445811738816824
137,"Callejón","31","Spain",84,84,"Right",70,161,-0.513656044131239,0.303746244407079
138,"María","30","Argentina",84,84,"Left",71,152,-0.13625021727421,0.445811738816824
139,"Mandžuki?","32","Croatia",84,84,"Right",75,187,1.37337309015391,0.915181804492968
140,"Willian","29","Brazil",84,84,"Right",69,172,-0.891061870988268,0.186447989397852
141,"Asenjo","29","Spain",84,85,"Right",74,192,0.995967263296877,0.84036697427128
142,"Banega","30","Argentina",84,84,"Right",69,157,-0.891061870988268,0.186447989397852
143,"Witsel","29","Belgium",84,84,"Right",74,179,0.995967263296877,0.84036697427128
144,"Payet","31","France",84,84,"Right",69,170,-0.891061870988268,0.186447989397852
145,"Jonas","34","Brazil",84,84,"Right",71,163,-0.13625021727421,0.445811738816824
146,"Sokratis","30","Greece",84,84,"Right",73,187,0.618561436439848,0.731897343398344
147,"Ruffier","31","France",84,84,"Right",74,205,0.995967263296877,0.84036697427128
148,"Falcao","32","Colombia",84,84,"Right",70,159,-0.513656044131239,0.303746244407079
149,"Schmeichel","31","Denmark",84,84,"Right",74,196,0.995967263296877,0.84036697427128
150,"Albiol","32","Spain",84,84,"Right",75,181,1.37337309015391,0.915181804492968
151,"Gómez","30","Argentina",84,84,"Right",65,150,-2.40068517841638,0.00818220428633721
152,"Barzagli","37","Italy",84,84,"Right",74,192,0.995967263296877,0.84036697427128
153,"Quaresma","34","Portugal",84,84,"Right",69,148,-0.891061870988268,0.186447989397852
154,"Robben","34","Netherlands",84,84,"Left",71,176,-0.13625021727421,0.445811738816824
155,"Dembélé","21","France",83,92,"Left",70,148,-0.513656044131239,0.303746244407079
156,"Jesus","21","Brazil",83,92,"Right",69,161,-0.891061870988268,0.186447989397852
157,"Cabrais","26","Brazil",83,83,"Right",70,165,-0.513656044131239,0.303746244407079
158,"Chiamulera","26","Brazil",83,83,"Right",73,176,0.618561436439848,0.731897343398344
159,"Beretta","26","Brazil",83,83,"Right",74,183,0.995967263296877,0.84036697427128
160,"Kimpembe","22","France",83,89,"Left",74,176,0.995967263296877,0.84036697427128
161,"Keïta","23","Guinea",83,88,"Right",68,141,-1.2684676978453,0.102315489580169
162,"Tolisso","23","France",83,88,"Right",71,179,-0.13625021727421,0.445811738816824
163,"Lemar","22","France",83,89,"Left",67,137,-1.64587352470233,0.0498949003918574
164,"Coman","22","France",83,87,"Right",70,157,-0.513656044131239,0.303746244407079
165,"Tah","22","Germany",83,88,"Right",77,214,2.12818474386796,0.983339115386145
166,"Talisca","24","Brazil",83,90,"Left",75,176,1.37337309015391,0.915181804492968
167,"Werner","22","Germany",83,87,"Right",71,165,-0.13625021727421,0.445811738816824
168,"Rabiot","23","France",83,87,"Left",76,176,1.75077891701094,0.960008000219213
169,"Goretzka","23","Germany",83,88,"Right",74,174,0.995967263296877,0.84036697427128
170,"Promes","26","Netherlands",83,84,"Right",69,159,-0.891061870988268,0.186447989397852
171,"Ziyech","25","Morocco",83,86,"Left",71,143,-0.13625021727421,0.445811738816824
172,"Vázquez","27","Spain",83,83,"Right",68,154,-1.2684676978453,0.102315489580169
173,"Carrasco","24","Belgium",83,86,"Right",71,161,-0.13625021727421,0.445811738816824
174,"Moreno","26","Spain",83,85,"Left",71,170,-0.13625021727421,0.445811738816824
175,"Felipe","29","Brazil",83,83,"Right",75,190,1.37337309015391,0.915181804492968
